title,sku_id,Variant_id,Variant,category,sub_category
Cauliflower,5c0e790f8d92d07fdfd9deef,5c0e790f8d92d07fdfd9def0,1 Pc,Fresh Vegetables,"Cabbage, Cauliflower, Broccoli"
Okra / Ladies Finger,5bd323493cd51519e93540bc,5c8b894278713477d5d2eb4e,250 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Mother Dairy Classic Dahi Cup,5c0e13558d92d07fdff29479,5c0e13558d92d07fdff2947a,400 Gms,Breakfast & Dairy,Dairy
Dabur Coconut Milk,5bc87ae10d298a283c297306,5bc87ae10d298a283c297307,200 Ml,Provisions,Cooking Pastes
Lays Spanish Tomato Tango Chips,5bf85869269a0f1dd3c37e0d,5bf85869269a0f1dd3c37e0f,55 Gms,Snacks & Frozen Food,Chips & Crisps
Nandini Good Life Milk Tetra Pack,5bc87ae20d298a283c297c7b,5ca49f3ce1921370b56c928e,1 Ltr,Breakfast & Dairy,Milk
Cadbury Dairy Milk Chocolate Shots,5bc87ae10d298a283c297093,5c52ce3346b876344842cd38,19.8 Gms,Chocolates & Ice-Cream,Bar Chocolates
Brinjal Ujala,5cc83faf13f1917fbe4ba6a6,5cc83faf13f1917fbe4ba6a9,250 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Mandarin Orange,5c80d9cbd8b2f755a2d4403c,5c80d9cbd8b2f755a2d4403d,1 Kg,Fresh Fruits,"Oranges, Mosambi"
Britannia Treat Jim Jam Biscuit,5bc87ae10d298a283c29701b,5be926da3a40350e5cba4c0d,150 Gms,Snacks & Frozen Food,Biscuit & Cookies
Moong Dal,5c135ae66994164bc9f7fdf5,5c135ae66994164bc9f7fdf6,1 Kg,Provisions,Pulses
Sponge Gourd,5bd323493cd51519e93540e3,5bd323493cd51519e93540e4,500 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Raw Mango,5caef825de0f3b0443a7d9be,5d7f5d551118d273be25046c,1 Kg,Fresh Fruits,Mangoes
Tender Coconut,5cab0f0ebd7685274d7d5a56,5cab0f0ebd7685274d7d5a58,1 Pc,Fresh Fruits,Coconut
Gold Flakes Small,5bec0c50ab11ff462a6c9b3a,5bec0c50ab11ff462a6c9b3b,Pack of 10,Paan,Others
Banana,5c6e8a23019ca52990db6fca,5c6e8a23019ca52990db6fcc,500 Gms,Fresh Fruits,"Banana, Guava, Sapota"
Bingo Yumitos Chilli Chips,5bdc77826cb2d102bff8316c,5bdc77826cb2d102bff8316d,60 Gms,Snacks & Frozen Food,Chips & Crisps
Daawat Rozana Basmati Rice,5bc87ae10d298a283c2972e9,5bc87ae10d298a283c2972ea,1 Kg,Provisions,Rice & Grains
Green Peas,5d2c2b729e1975027f936d6d,5d3967fc47ddec28ec4fcc8c,1 Kg,Fresh Vegetables,"Peas, Corn, Mushrooms"
Cadbury Perk,5bf85867269a0f1dd3c37336,5bf85867269a0f1dd3c37337,28 Gms,Chocolates & Ice-Cream,Bar Chocolates
Snake Gourd,5c0e70078d92d07fdfc24857,5c0e70078d92d07fdfc24858,1 Kg,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Lab Lab Long,5cc83faf13f1917fbe4ba68a,5cc83faf13f1917fbe4ba68c,250 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Haldiram Moong Dal,5bf85869269a0f1dd3c37ee5,5c3115cb870efa7d31ae0773,150 Gms,Snacks & Frozen Food,Snacks
Beans Cluster,5c0e790f8d92d07fdfd9deca,5c0e790f8d92d07fdfd9decc,500 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Britannia Milk Bikis Milky Sandwich,5bf85867269a0f1dd3c37194,5c3f6b877d95600ff27b94c2,200 Gms,Snacks & Frozen Food,Biscuit & Cookies
Broccoli,5c0e70078d92d07fdfc247b6,5c0e70078d92d07fdfc247b7,1 Kg,Fresh Vegetables,"Cabbage, Cauliflower, Broccoli"
Britannia Choco Chill Barcake,5bf85867269a0f1dd3c36cc8,5bf85867269a0f1dd3c36cca,60 Gms,Snacks & Frozen Food,Snacks
Red Bull Energy Drink,5bda40247792aa60c412eade,5bda40247792aa60c412eadf,250 Ml,Beverages,Energy & Sports Drinks
Vim Bar,5bdc71036cb2d102bff80711,5bdc71036cb2d102bff80712,240 Gms,Cleaning & Household,Dishwash
Frooti Mango Juice Tetra Pack,5bc87ae10d298a283c2975c2,5bc87ae10d298a283c2975c3,160 Ml,Beverages,Fruit Juice & Drinks
KPN Milk Bread,5cae072a850c55677a212a8e,5cae072a850c55677a212a8f,400 Gms,Breakfast & Dairy,Bread & Buns
Cadbury Dairy Milk Fruit And Nut Chocolate,5bc87ae10d298a283c29709d,5bc87ae10d298a283c29709f,36 Gms,Chocolates & Ice-Cream,Bar Chocolates
Milky Mist Farm Fresh Curd Pouch,5e26df296d925b53469476d2,5e26df296d925b53469476d3,500 Gms,Breakfast & Dairy,Dairy
Aashirvaad Select Atta,5c029b4e08e0144a1a409b3f,5c029b4e08e0144a1a409b41,1 Kg,Provisions,Atta & Flour
Milky Mist Cheese Slices,5bd2cefa73cdab713587671d,5bd2cefa73cdab713587671f,200 Gms,Breakfast & Dairy,Dairy
Nandini Good Life Toned Milk,5d42d10247ddec28ec85d536,5d84be12f3e9af377e6350e0,500 Ml,Breakfast & Dairy,Milk
Gowardhan Paneer Classic Block,5bd2cefa73cdab7135875caf,5ca48d24e1921370b56b83ed,200 Gms,Breakfast & Dairy,Dairy
Mango - Dasheri,5d3fe24447ddec28ec5550ff,5d3fe24447ddec28ec555100,1 Kg,Fresh Fruits,Mangoes
Minute Maid Pulpy Orange Juice,5bd2cefa73cdab713587672e,5bd2cefa73cdab7135876730,400 Ml,Beverages,Fruit Juice & Drinks
Amul Gold Milk,5bd2cef973cdab7135874ebc,5bd2cef973cdab7135874ebd,1 Ltr,Breakfast & Dairy,Milk
Green Chillies,5c0e70078d92d07fdfc247ff,5c0e70078d92d07fdfc24800,1 Kg,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Kwality walls Cornetto - Double Chocolate Ice Cream,5be591cb3832916b18314f94,5be591cb3832916b18314f95,115 Ml,Chocolates & Ice-Cream,Ice Cream & Popsicle
Everest Kasuri Methi,5bc87ae10d298a283c2974ed,5bc87ae10d298a283c2974f0,25 Gms,Provisions,Masala & Spices
Sunfeast Dark Fantasy Choco Fills Biscuits,5be2940148e1c43d79561c86,5be2940148e1c43d79561c87,75 Gms,Snacks & Frozen Food,Biscuit & Cookies
Id Malabar Parota,5cecd7e5497d855ddab8835f,5cecd7e5497d855ddab88360,5 Pcs,Instant Foods & Ready To Eat,Ready to Cook
A1 Garbage Bag 19*21 Cm,5d2486e19f8644719113dcfa,5d2486e19f8644719113dcfb,30 Pcs,Cleaning & Household,Disposable
Arokya Standardised Milk,5e8d86a5e39f9d746cef4a1b,5e8d86a5e39f9d746cef4a1c,500 Ml,Breakfast & Dairy,Milk
Banana / Pachabale,5eaab2ef26231127095a1481,5eaab2ef26231127095a1482,1 Kg,Fresh Fruits,"Banana, Guava, Sapota"
Epigamia Wild Raspberry Greek Yogurt,5c544fb26dbddc4fc504182d,5c544fb26dbddc4fc504182e,90 Gms,Breakfast & Dairy,Dairy
Epigamia Blueberry Greek Yogurt,5bd2cefa73cdab7135875966,5bd2cefa73cdab7135875967,90 Gms,Breakfast & Dairy,Dairy
Orange Australia,5cc83faf13f1917fbe4ba684,5cc83faf13f1917fbe4ba686,500 Gms,Fresh Fruits,"Oranges, Mosambi"
Gold Flake Lights,5c101d5e66f5461aad4cff72,5c101d5e66f5461aad4cff73,Pack of 10,Paan,Others
Spar Fresh Potato,5c1212056d62156290e94bb7,5c1212056d62156290e94bb8,500 Gms,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Drumstick,5bd323493cd51519e935409e,5c6d3386f6924f1e6f6ce73c,250 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Hatsun Curd,5c282c2ff7e98871f4f8bdd7,5c282c2ff7e98871f4f8bdd9,500 Gms,Breakfast & Dairy,Dairy
Bisleri Rockin Bottle,5c0562ceaead9d72d28f755b,5c0562ceaead9d72d28f755c,5 Ltrs,Beverages,Bottled Water & Soda
Dark Green Chilli,5c235ba9053cdb286aaa822c,5c235ba9053cdb286aaa822f,250 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Raw Mango,5caef825de0f3b0443a7d9be,5d0a20ccca1e4b6347d94345,250 Gms,Fresh Fruits,Mangoes
Aquafina Mineral Water,5bdc71036cb2d102bff80762,5c335eb1870efa7d31724b3b,1 Ltr,Beverages,Bottled Water & Soda
Bisleri Soda Bottle,5bd2cef973cdab7135875124,5bd2cef973cdab7135875125,600 Ml,Beverages,Bottled Water & Soda
Banana Karpooravalli,5cc83faf13f1917fbe4ba65d,5cc83faf13f1917fbe4ba65f,500 Gms,Fresh Fruits,"Banana, Guava, Sapota"
Amul Pasteurised Butter,5c0562cfaead9d72d28f8412,5c0562cfaead9d72d28f8414,100 Gms,Breakfast & Dairy,Dairy
Fresh Lemongrass,5c28381cf7e98871f42dc324,5d6e09404fce012c1d0feb7c,Whole Bunch,Fresh Herbs and Seasoning,Indian Herbs
Maharaja Mushroom,5d36b95547ddec28ec4720ca,5d36b95547ddec28ec4720cb,1 Box,Fresh Vegetables,"Peas, Corn, Mushrooms"
Kwality Walls Magnum Almond Ice cream,5bd2cefa73cdab7135876395,5bd2cefa73cdab7135876396,70 Gms,Chocolates & Ice-Cream,Ice Cream & Popsicle
Elephant Foot Yam,5d0cd3f4c9e8386c3c50f2e5,5d0cd3f4c9e8386c3c50f2e6,1 Kg,Fresh Vegetables,Root Vegetables
Palak Spinach,5c0e70078d92d07fdfc24829,5d6e093e4fce012c1d0fe2bd,350 Gms,Fresh Herbs and Seasoning,Indian Herbs
Nestle Kitkat Fingers Chocolate,5be597d0fee8706dda0ba92d,5be597d0fee8706dda0ba930,13.2 Gms,Chocolates & Ice-Cream,Bar Chocolates
Bitter Gourd,5c0e70078d92d07fdfc247a8,5c0e70078d92d07fdfc247ab,250 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Beans Haricot,5c0e70078d92d07fdfc247a0,5c0e70078d92d07fdfc247a2,500 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Sambar Fresh Onions,5c28381cf7e98871f42dc380,5c6aa3d48fb99d10122329e2,1 Kg,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Maaza,5bdc71036cb2d102bff80751,5bdc71036cb2d102bff80752,1.2 Ltrs,Beverages,Fruit Juice & Drinks
Cucumber,5bd323493cd51519e9354095,5bd323493cd51519e9354096,1 Kg,Fresh Vegetables,Cucumber & Capsicum
Kinley Water Bottle,5bd2cefa73cdab7135876272,5bd2cefa73cdab7135876273,1 Ltr,Beverages,Bottled Water & Soda
Milky Mist Fresh Cream,5bd2cefa73cdab7135876724,5bd2cefa73cdab7135876725,200 Ml,Breakfast & Dairy,Dairy
Milky Mist Set Curd,5c282c2ff7e98871f4f8bf74,5c282c2ff7e98871f4f8bf76,200 Gms,Breakfast & Dairy,Dairy
Mountain Dew Pet Bottle,5bdc77826cb2d102bff83161,5bdc77826cb2d102bff83162,600Ml,Beverages,Soft Drinks
Britannia Treat Jim Jam Biscuit,5bc87ae10d298a283c29701b,5bc87ae10d298a283c29701c,100 Gms,Snacks & Frozen Food,Biscuit & Cookies
KPN Sandwich Bread,5cae072a850c55677a212a9c,5cae072a850c55677a212a9d,400 Gms,Breakfast & Dairy,Bread & Buns
Chings Hot Garlic Noodles,5be2940148e1c43d79561c36,5be2940148e1c43d79561c37,240 Gms,Instant Foods & Ready To Eat,Noodles & Pasta
Ginger,5c0e790f8d92d07fdfd9df0e,5c0e790f8d92d07fdfd9df0f,1 Kg,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Cadbury Oreo Chocolate Cream Biscuit,5bc87ae20d298a283c297e5e,5bc87ae20d298a283c297e60,120 Gms,Snacks & Frozen Food,Biscuit & Cookies
Kolam Rice,5d4033a447ddec28ec5640aa,5d4033a447ddec28ec5640ab,1 Kg,Provisions,Rice & Grains
Lays American Style Cream And Onion Potato Chips,5c6bbe8df6924f1e6f4b6f62,5cadeb7d850c55677a1febe7,52 Gms,Snacks & Frozen Food,Chips & Crisps
Parle G Biscuit,5bc87ae20d298a283c297fa1,5be93be43a40350e5cba789f,250 Gms,Snacks & Frozen Food,Biscuit & Cookies
Raw Banana,5c0e75068d92d07fdfcf7469,5c0e75068d92d07fdfcf746b,500 Gms,Fresh Fruits,"Banana, Guava, Sapota"
Uncle Chipps - Plain Salted,5bf85869269a0f1dd3c37e3e,5c530e3746b8763448e783f1,60 Gms,Snacks & Frozen Food,Chips & Crisps
Natures Farm Fresh Eggs,5c9252524b987a3b6752eed6,5c9252524b987a3b6752eed7,12 Eggs,Breakfast & Dairy,Egg
Kurkure Green Chutney Rajasthani Style,5bdc71036cb2d102bff807ac,5bdc71036cb2d102bff807ad,90 Gms,Snacks & Frozen Food,Chips & Crisps
Potato,5d8361e8f3e9af377e607c23,5d8361e8f3e9af377e607c24,1 Kg,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Britannia Bourbon Cream Biscuit,5bc87ae10d298a283c296f7f,5bc87ae10d298a283c296f84,60 Gms,Snacks & Frozen Food,Biscuit & Cookies
Banana Poovan,5cc83faf13f1917fbe4ba654,5cc83faf13f1917fbe4ba656,500 Gms,Fresh Fruits,"Banana, Guava, Sapota"
Epigamia Natural Greek Yogurt,5bd2cefa73cdab7135875972,5bd2cefa73cdab7135875973,90 Gms,Breakfast & Dairy,Dairy
Nandini Goodlife Toned Milk,5e26df266d925b5346947494,5e26df266d925b5346947495,500 Ml,Breakfast & Dairy,Milk
Avarakkai,5d2c2b719e1975027f936d01,5d2c2b719e1975027f936d02,500 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Coriander Leaves,5c6e8df1019ca52990de25bc,5c6e8df1019ca52990de25bd,Whole Bunch,Greens,Others
Classic Ice Burst,5ced3812497d855ddabda435,5d63b5c14fce012c1d067fad,Pack of 10,Paan,Others
Nandini Good Life Toned Milk,5d27178c9e1975027f8eabc8,5d7a2b521118d273be1f3530,500 Ml,Breakfast & Dairy,Milk
Sprite Pet Bottle,5bd2cefb73cdab7135877427,5bf05ba61f3b1525eded7140,1.25 Ltrs,Beverages,Soft Drinks
Mushroom Box,5c80d9cad8b2f755a2d44034,5c80d9cad8b2f755a2d44035,1 Box,Fresh Vegetables,Cut & Packed Vegetables
Orange - Nagpur,5bd323493cd51519e935400c,5bd323493cd51519e935400d,1 Kg,Fresh Fruits,"Oranges, Mosambi"
Lemon,5c790174d661476ccea63524,5d3184419e1975027fa2c299,6 Pcs,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Epigamia Mishti Doi,5bf85868269a0f1dd3c37581,5bf85868269a0f1dd3c37582,85 Gms,Breakfast & Dairy,Dairy
Milky Mist Mozzarella Cheese,5bd2cefa73cdab7135876728,5bd2cefa73cdab7135876729,200 Gms,Breakfast & Dairy,Dairy
Sunpure Refined Sunflower Oil,5bf7f86a5f45681d3831daff,5bf7f86a5f45681d3831db00,1 Ltr,Provisions,Oils & Ghee
Nandini Standard Milk,5bc87ae20d298a283c297c84,5bc87ae20d298a283c297c85,500 Ml,Best Sellers,Others
Sprite Pet Bottle,5bd2cefb73cdab7135877427,5c815d1954a6a06367ca3f18,600 Ml,Beverages,Soft Drinks
Lehar Club Soda,5bdc71036cb2d102bff807b1,5bdc71036cb2d102bff807b2,750 Ml,Beverages,Bottled Water & Soda
Parry's Pure Refined Sugar Pack,5bc87ae20d298a283c297fdc,5bc87ae20d298a283c297fdd,1 Kg,Provisions,"Salt, Sugar & Jaggery"
Thums Up Pet Bottle,5c029bdf08e0144a1a435dfd,5c029bdf08e0144a1a435dfe,2 Ltrs,Beverages,Soft Drinks
Nestle Milkybar Chocolate,5bc87ae20d298a283c297cc8,5be1bce848e1c43d79561bf7,25 Gms,Chocolates & Ice-Cream,Bar Chocolates
Banana / Yellaki,5bd323493cd51519e9353fbe,5d4a763e47ddec28ecc3f7bc,6 Pcs,Fresh Fruits,"Banana, Guava, Sapota"
Fresh Country Tomato,5c504fbb01e1e57c74223982,5c6a902b8fb99d10121e34c4,500 Gms,Fresh Vegetables,Cut & Packed Vegetables
Fresh Drumstick,5c28381bf7e98871f42dc262,5c28381bf7e98871f42dc263,1 Kg,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Marlboro Clove Mix,5c6d5bd5a6ad42274c520843,5c6d5bd5a6ad42274c520844,Pack of 10,Paan,Others
Haldiram Soya Sticks Chatpata Masala Namkeen,5c021de829a128442cdc3250,5c021de829a128442cdc3251,150 Gms,Snacks & Frozen Food,Snacks
Round Bottle Gourd,5c80d9cad8b2f755a2d43f4b,5c80d9cad8b2f755a2d43f4c,1 Kg,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Green Pear,5c790174d661476ccea63557,5c790174d661476ccea63559,500 Gms,Fresh Fruits,"Apples, Pears, Plums"
Lays Classic Salted Potato Chips,5bfe623d726eb61f4312a5e0,5bfe623d726eb61f4312a5e1,90 Gms,Snacks & Frozen Food,Chips & Crisps
Mango - Alphonso,5bd323493cd51519e9353fd6,5cefcfa9497d855ddac20161,6 Pcs,Fresh Fruits,Mangoes
Lays Spanish Tomato Tango Chips,5bfe623d726eb61f4312a5ed,5bfe623d726eb61f4312a5ef,52 Gms,Snacks & Frozen Food,Chips & Crisps
Britannia Sweet Bun,5bc87ae10d298a283c29700e,5bc87ae10d298a283c29700f,200 Gms,Breakfast & Dairy,Bread & Buns
Basil Leaves,5c0e70078d92d07fdfc24794,5d6e093f4fce012c1d0fe83e,Each,Fresh Herbs and Seasoning,Indian Herbs
Garlic,5c0e790f8d92d07fdfd9df0a,5c0e790f8d92d07fdfd9df0b,1 Kg,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Sunfeast Dark Fantasy Chocolate Biscuit,5bd2cefb73cdab7135877501,5cee460b497d855ddabf68eb,75 Gms,Snacks & Frozen Food,Biscuit & Cookies
Haldiram's Aloo Bhujia,5c0623a814465b6713f87fea,5ca1be6fa827f26f071f0bb6,150 Gms,Snacks & Frozen Food,Snacks
Maggi Masala Noodles,5bd2cefa73cdab7135876598,5c052a50ec065c6ab669fdaa,560 Gms,Instant Foods & Ready To Eat,Noodles & Pasta
Yellow Capsicum,5d0b2fadca1e4b6347da61e9,5d394f6347ddec28ec4f8252,500 Gms,Fresh Vegetables,Cucumber & Capsicum
Kellogg's Corn Flakes,5bc87ae20d298a283c29790b,5c052a4fec065c6ab669f9b0,475 Gms,Breakfast & Dairy,"Cereals, Oats & Muesli"
Amul Fruit N Nut Chocolate,5bc87ae10d298a283c296e47,5bc87ae10d298a283c296e48,150 Gms,Chocolates & Ice-Cream,Bar Chocolates
Rawa,5d161a14fd74cb140bb99b87,5d161a14fd74cb140bb99b88,1 Kg,Provisions,Pulses
Banana Robusta,5c0e70078d92d07fdfc2478a,5c9a2ae2275f537fd4933e65,12 Pcs,Fresh Fruits,"Banana, Guava, Sapota"
Daily Fresh Poultry Eggs,5cab57e4bd7685274d7edbc1,5d2d90179e1975027f94dec1,6 Eggs,Breakfast & Dairy,Egg
Elephant Foot Yam,5d0cd3f4c9e8386c3c50f2e5,5d0cd3f4c9e8386c3c50f2e7,250 Gms,Fresh Vegetables,Root Vegetables
Epigamia Blueberry Greek Yogurt,5c544fb26dbddc4fc504181f,5c544fb26dbddc4fc5041820,90 Gms,Breakfast & Dairy,Dairy
Sweet Lime - Mosambi,5c35dbf1b1e6c12dfdc86747,5c6aa3d48fb99d10122329ee,1 Kg,Fresh Fruits,"Oranges, Mosambi"
Cadbury Dairy Milk Roast Almond Chocolate,5bd2cef973cdab71358752de,5bd2cef973cdab71358752e0,36 Gms,Chocolates & Ice-Cream,Bar Chocolates
Toor Dal,5c135c2b6994164bc9fce0e1,5c135c2b6994164bc9fce0e3,500 Gms,Provisions,Pulses
Kovakkai,5cc83faf13f1917fbe4ba6d0,5cc83faf13f1917fbe4ba6d3,250 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Gowardhan Paneer,5d76270f4bf1844dbc4ecac1,5d76270f4bf1844dbc4ecac2,200 Gms,Breakfast & Dairy,Dairy
Milkmade Brown Bread,5c34de72870efa7d31c4c5bf,5c34de72870efa7d31c4c5c0,400 Gms,Breakfast & Dairy,Bread & Buns
Best Plus Eggs,5c92524f4b987a3b6752e785,5c92524f4b987a3b6752e787,6 Pcs,Breakfast & Dairy,Egg
Duke's Club Soda,5d5faf384fce012c1d0444ac,5d5faf384fce012c1d0444ad,750 Ml,Beverages,Bottled Water & Soda
Lemon,5c790174d661476ccea63524,5ccb432e552f121a3c1fba1c,3 Pcs,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Marlboro Lights,5ce7d5da94786a3be12e89d0,5ce7d5da94786a3be12e89d1,Pack of 20,Paan,Others
Britannia Milk Bikis Milky Sandwich,5bf85867269a0f1dd3c37194,5bf85867269a0f1dd3c37195,100 Gms,Snacks & Frozen Food,Biscuit & Cookies
Cumin Seeds,5c135ae66994164bc9f7fd95,5c135ae66994164bc9f7fd99,100 Gms,Provisions,Masala & Spices
Banana,5d40335347ddec28ec5637fd,5d40335347ddec28ec5637fe,12 Pcs,Fresh Fruits,"Banana, Guava, Sapota"
Amul Fresh Cream,5bc87ae10d298a283c296e43,5bc87ae10d298a283c296e44,1 Ltr,Breakfast & Dairy,Dairy
Everest Chat Masala,5bc87ae10d298a283c2974cb,5bc87ae10d298a283c2974ce,50 Gms,Provisions,Masala & Spices
Amul Lassi,5bf85868269a0f1dd3c37630,5bf85868269a0f1dd3c37632,200 Ml,Breakfast & Dairy,Dairy
Plastobag Garbage Bags,5bc87ae20d298a283c298147,5bc87ae20d298a283c298149,Large,Cleaning & Household,Disposable
Cadbury Oreo Choco Creame Biscuit,5bc87ae10d298a283c2970dd,5bc87ae10d298a283c2970de,58.8 Gms,Snacks & Frozen Food,Biscuit & Cookies
Motas Hot And Spicy Potato Chips,5d89b0b7f3e9af377e64f998,5d89b0b7f3e9af377e64f999,200 Gms,Snacks & Frozen Food,Chips & Crisps
Round Brinjal,5c80d9cad8b2f755a2d43f53,5c80d9cad8b2f755a2d43f55,500 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Amul Pasteurised Butter,5c73e1ef2066a44f4a7d737f,5c73e1ef2066a44f4a7d7380,100 Gms,Breakfast & Dairy,Dairy
Everest Garam Masala,5bc87ae10d298a283c2974e2,5bc87ae10d298a283c2974e5,50 Gms,Provisions,Masala & Spices
Milky Mist Curd,5c1c9d3ad49b0d3eae0d0439,5c1c9d3ad49b0d3eae0d043a,500 Gms,Best Sellers,Others
Britannia Milk Bikis Biscuits,5bf85867269a0f1dd3c37192,5bf85867269a0f1dd3c37193,80 Gms,Snacks & Frozen Food,Biscuit & Cookies
Kurkure Masala Munch,5bdc77826cb2d102bff8316f,5bdc77826cb2d102bff83172,50 Gms,Snacks & Frozen Food,Chips & Crisps
Tropicana Delight Apple Fruit Juice,5c021de929a128442cdc3d58,5c021de929a128442cdc3d59,1 Ltr,Beverages,Fruit Juice & Drinks
Methi Leaves,5c0e70078d92d07fdfc24819,5c0e70078d92d07fdfc2481c,100 Gms,Fresh Herbs and Seasoning,Indian Herbs
Chings Green Chilli Sauce,5bc87ae10d298a283c297154,5bc87ae10d298a283c297156,190 Gms,Condiments,"Sauces, Spreads & Dips"
Yellow Capsicum,5d0b2fadca1e4b6347da61e9,5d394f4647ddec28ec4f8248,250 Gms,Fresh Vegetables,Cucumber & Capsicum
Ananda Premium Paneer,5df8c3ad86c098414e6d2649,5df8c3ad86c098414e6d264a,200 Gms,Breakfast & Dairy,Dairy
Cadbury Oreo Vanilla Cream Biscuit,5bd2cefb73cdab7135876ce9,5cc8469713f1917fbe4c250a,120 Gms,Snacks & Frozen Food,Biscuit & Cookies
Delhi Palak Leaf,5d2c2b729e1975027f936d50,5d2c2b729e1975027f936d51,Whole Bunch,Fresh Herbs and Seasoning,Indian Herbs
Pringles Potato Crisps Pizza Flavour Chips,5bc87ae20d298a283c2981c2,5bc87ae20d298a283c2981c3,110 Gms,Snacks & Frozen Food,Chips & Crisps
Aashirvaad Whole Wheat Atta,5cae072a850c55677a212a65,5cae072a850c55677a212a67,1 Kg,Provisions,Atta & Flour
Amul Masti Spiced Buttermilk,5bc87ae10d298a283c296e56,5bc87ae10d298a283c296e57,1 Ltr,Breakfast & Dairy,Dairy
Cadbury Dairy Milk Silk Oreo Chocolate,5bc87ae10d298a283c2970c2,5bc87ae10d298a283c2970c4,60 Gms,Chocolates & Ice-Cream,Bar Chocolates
Cadbury Dairy Milk Silk Roasted Almond Chocolate,5bc87ae10d298a283c2970a9,5bc87ae10d298a283c2970ac,55 Gms,Chocolates & Ice-Cream,Bar Chocolates
Besan Flour,5c135ae66994164bc9f7fd51,5c135ae66994164bc9f7fd52,1 Kg,Provisions,Atta & Flour
Peeled Corn,5c504fbb01e1e57c7422394c,5c504fbb01e1e57c7422394d,200 Gms,Fresh Vegetables,"Peas, Corn, Mushrooms"
Classic Double Burst,5c101d5e66f5461aad4cff4c,5d0cb3c8c9e8386c3c50605c,Pack of 20,Paan,Others
Shimla Fresh Apple,5c264106bbc7ac725f5138fd,5c264106bbc7ac725f5138fe,1 Kg,Fresh Fruits,"Apples, Pears, Plums"
Milky Mist Set Curd,5c282c2ff7e98871f4f8bf74,5c282c2ff7e98871f4f8bf75,400 Gms,Breakfast & Dairy,Dairy
Brooke Bond Red Label Tea,5bc87ae10d298a283c297049,5bc87ae10d298a283c29704c,250 Gms,Beverages,Tea
Mandarin Orange,5c80d9cbd8b2f755a2d4403c,5c80d9cbd8b2f755a2d4403e,500 Gms,Fresh Fruits,"Oranges, Mosambi"
Malgova Mangoes,5d2c2b729e1975027f936da8,5d2c2b729e1975027f936da9,1 Kg,Fresh Fruits,Mangoes
Nestle Curd,5bda40247792aa60c412e8dc,5bda40247792aa60c412e8dd,400 Gms,Breakfast & Dairy,Dairy
Bingo Mad Angles Achari Masti,5bf85869269a0f1dd3c37dd9,5bf85869269a0f1dd3c37dda,90 Gms,Snacks & Frozen Food,Chips & Crisps
Britannia Marie Gold Biscuit,5bc87ae10d298a283c296fd8,5bc87ae10d298a283c296fdb,120 Gms,Snacks & Frozen Food,Biscuit & Cookies
Amul Taaza Milk,5bd2cef973cdab7135874ee5,5ca47b080605466bab339f54,200 Ml,Breakfast & Dairy,Milk
Fresh Karpuram Banana,5c28381bf7e98871f42dc16c,5c6a97528fb99d1012220919,1 Kg,Fresh Fruits,"Banana, Guava, Sapota"
Pepsi Pet Bottle,5bd2cefb73cdab7135876e85,5c311863870efa7d31b966cc,2.25 Ltrs,Beverages,Soft Drinks
Amul Full Cream Milk Pouch,5c0e13548d92d07fdff29427,5c0e13548d92d07fdff29428,500 Ml,Breakfast & Dairy,Milk
Radish,5c0e70078d92d07fdfc2483f,5c0e70078d92d07fdfc24842,250 Gms,Fresh Vegetables,Root Vegetables
Greens Thandu,5cc83faf13f1917fbe4ba647,5cc83faf13f1917fbe4ba648,1 Bunch,Fresh Herbs and Seasoning,Indian Herbs
Spencer Milk Bread,5c98c586082678760248eefd,5c98c586082678760248eefe,450 Gms,Breakfast & Dairy,Bread & Buns
Britannia Daily Fresh Dahi,5bf84bcf269a0f1dd3c362f2,5bf84bcf269a0f1dd3c362f3,400 Gms,Dairy & Eggs,Curd & Yogurt
